"Site_Name","Loc_Name","Year","QAQC","Spp_Code","mean","sd","se","Common_Name","Spp_Name","Category","TSN","Comments"
"Acadia NP","Bass Harbor","2013","FALSE","BARSPP",0.2,0.13,0.072,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2013","FALSE","NONCOR",0.1,0,0.002,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2013","FALSE","CHOMAS",0.1,0.05,0.029,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2013","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2013","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2013","FALSE","ALGGRE",0,0,0.002,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2013","FALSE","ALGRED",0,0.01,0.004,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2013","FALSE","ROCK",0.2,0.01,0.007,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2013","FALSE","FUCSPP",0.3,0.06,0.037,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2013","FALSE","WATER",0,0,0.002,"Water","Water","Substrate",-899,""
"Acadia NP","Bass Harbor","2013","TRUE","BARSPP",0.2,0.12,0.072,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2013","TRUE","NONCOR",0.1,0.03,0.015,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2013","TRUE","CHOMAS",0.1,0.03,0.019,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2013","TRUE","ASCNOD",0,0,0.002,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2013","TRUE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2013","TRUE","ALGGRE",0,0.01,0.006,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2013","TRUE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2013","TRUE","ROCK",0.1,0.03,0.02,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2013","TRUE","FUCSPP",0.3,0.08,0.049,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2013","TRUE","WATER",0,0.01,0.007,"Water","Water","Substrate",-899,""
"Acadia NP","Bass Harbor","2014","FALSE","BARSPP",0.1,0.12,0.068,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2014","FALSE","NONCOR",0.1,0.04,0.026,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2014","FALSE","CHOMAS",0.1,0.04,0.025,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2014","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2014","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2014","FALSE","ALGGRE",0,0.01,0.007,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2014","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2014","FALSE","ROCK",0.1,0.04,0.024,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2014","FALSE","FUCSPP",0.4,0.07,0.041,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2014","FALSE","WATER",0,0.01,0.006,"Water","Water","Substrate",-899,""
"Acadia NP","Bass Harbor","2015","FALSE","BARSPP",0.1,0.09,0.049,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2015","FALSE","NONCOR",0.1,0.02,0.012,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2015","FALSE","CHOMAS",0.1,0.03,0.016,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2015","FALSE","ASCNOD",0,0.01,0.004,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2015","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2015","FALSE","ALGGRE",0,0.02,0.009,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2015","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2015","FALSE","ROCK",0.2,0.02,0.012,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2015","FALSE","FUCSPP",0.5,0.08,0.044,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2015","FALSE","WATER",0,0.01,0.008,"Water","Water","Substrate",-899,""
"Acadia NP","Bass Harbor","2016","FALSE","BARSPP",0.1,0.06,0.036,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2016","FALSE","NONCOR",0.1,0.01,0.005,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2016","FALSE","CHOMAS",0.1,0.02,0.009,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2016","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2016","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2016","FALSE","ALGGRE",0,0.01,0.004,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2016","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2016","FALSE","ROCK",0.1,0.02,0.014,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2016","FALSE","FUCSPP",0.6,0.06,0.035,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2016","FALSE","WATER",0,0.02,0.009,"Water","Water","Substrate",-899,""
"Acadia NP","Bass Harbor","2017","FALSE","BARSPP",0.1,0.09,0.051,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2017","FALSE","NONCOR",0,0.03,0.019,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2017","FALSE","CHOMAS",0.1,0.05,0.028,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2017","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2017","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2017","FALSE","ALGGRE",0.1,0.02,0.012,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2017","FALSE","ALGRED",0,0.01,0.004,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2017","FALSE","ROCK",0.2,0.03,0.016,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2017","FALSE","FUCSPP",0.4,0.05,0.031,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2017","FALSE","WATER",0,0.01,0.004,"Water","Water","Substrate",-899,""
"Acadia NP","Bass Harbor","2018","FALSE","BARSPP",0.1,0.07,0.04,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2018","FALSE","NONCOR",0.1,0.02,0.014,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2018","FALSE","CHOMAS",0,0.02,0.012,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2018","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2018","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2018","FALSE","ALGGRE",0.1,0.02,0.009,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2018","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2018","FALSE","ROCK",0.1,0.03,0.015,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2018","FALSE","FUCSPP",0.5,0.03,0.017,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2018","FALSE","WATER",0,0,0.003,"Water","Water","Substrate",-899,""
"Acadia NP","Bass Harbor","2019","FALSE","BARSPP",0.1,0.05,0.03,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2019","FALSE","NONCOR",0.1,0.02,0.012,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2019","FALSE","CHOMAS",0,0.02,0.009,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2019","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2019","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2019","FALSE","ALGGRE",0,0.02,0.011,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2019","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2019","FALSE","ROCK",0.2,0.01,0.004,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2019","FALSE","FUCSPP",0.5,0.03,0.017,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2019","FALSE","WATER",0,0.01,0.004,"Water","Water","Substrate",-899,""
"Acadia NP","Bass Harbor","2019","TRUE","BARSPP",0.1,0.09,0.051,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Bass Harbor","2019","TRUE","NONCOR",0.1,0.01,0.007,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Bass Harbor","2019","TRUE","CHOMAS",0,0.03,0.016,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Bass Harbor","2019","TRUE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Bass Harbor","2019","TRUE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Bass Harbor","2019","TRUE","ALGGRE",0,0,0,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Bass Harbor","2019","TRUE","ALGRED",0,0,0.003,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Bass Harbor","2019","TRUE","ROCK",0.2,0.02,0.01,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Bass Harbor","2019","TRUE","FUCSPP",0.5,0.04,0.023,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Bass Harbor","2019","TRUE","WATER",0,0.01,0.005,"Water","Water","Substrate",-899,""
"Acadia NP","Little Hunter","2016","FALSE","BARSPP",0.1,0.07,0.04,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Hunter","2016","FALSE","NONCOR",0.1,0.03,0.017,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Hunter","2016","FALSE","CHOMAS",0,0.01,0.005,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Hunter","2016","FALSE","ASCNOD",0,0.03,0.019,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Hunter","2016","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Hunter","2016","FALSE","ALGGRE",0,0,0,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Little Hunter","2016","FALSE","ALGRED",0.1,0.03,0.016,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Hunter","2016","FALSE","ROCK",0.2,0.05,0.027,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Hunter","2016","FALSE","FUCSPP",0.3,0.08,0.045,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Hunter","2016","FALSE","WATER",0.1,0.04,0.022,"Water","Water","Substrate",-899,""
"Acadia NP","Little Hunter","2017","FALSE","BARSPP",0.2,0.06,0.036,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Hunter","2017","FALSE","NONCOR",0.3,0.09,0.052,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Hunter","2017","FALSE","CHOMAS",0,0.04,0.021,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Hunter","2017","FALSE","ASCNOD",0.1,0.01,0.008,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Hunter","2017","FALSE","ALGBRO",0,0.01,0.005,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Hunter","2017","FALSE","ALGGRE",0,0,0,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Little Hunter","2017","FALSE","ALGRED",0.1,0.05,0.028,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Hunter","2017","FALSE","ROCK",0.1,0.03,0.016,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Hunter","2017","FALSE","FUCSPP",0.2,0.07,0.04,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Hunter","2017","FALSE","WATER",0.1,0.05,0.03,"Water","Water","Substrate",-899,""
"Acadia NP","Little Hunter","2017","TRUE","BARSPP",0.2,0.12,0.069,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Hunter","2017","TRUE","NONCOR",0.2,0.07,0.043,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Hunter","2017","TRUE","CHOMAS",0,0,0,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Hunter","2017","TRUE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Hunter","2017","TRUE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Hunter","2017","TRUE","ALGGRE",0,0,0,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Little Hunter","2017","TRUE","ALGRED",0.1,0.01,0.007,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Hunter","2017","TRUE","ROCK",0.2,0.02,0.01,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Hunter","2017","TRUE","FUCSPP",0.2,0.14,0.079,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Hunter","2017","TRUE","WATER",0.1,0.07,0.04,"Water","Water","Substrate",-899,""
"Acadia NP","Little Hunter","2018","FALSE","BARSPP",0.2,0.07,0.042,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Hunter","2018","FALSE","NONCOR",0.2,0.08,0.049,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Hunter","2018","FALSE","CHOMAS",0,0.02,0.01,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Hunter","2018","FALSE","ASCNOD",0,0.01,0.005,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Hunter","2018","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Hunter","2018","FALSE","ALGGRE",0,0.06,0.036,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Little Hunter","2018","FALSE","ALGRED",0,0.02,0.01,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Hunter","2018","FALSE","ROCK",0.2,0.12,0.072,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Hunter","2018","FALSE","FUCSPP",0.2,0.05,0.028,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Hunter","2018","FALSE","WATER",0.1,0.07,0.038,"Water","Water","Substrate",-899,""
"Acadia NP","Little Hunter","2019","FALSE","BARSPP",0.1,0.09,0.05,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Hunter","2019","FALSE","NONCOR",0.1,0.09,0.053,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Hunter","2019","FALSE","CHOMAS",0,0.01,0.005,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Hunter","2019","FALSE","ASCNOD",0,0.02,0.013,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Hunter","2019","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Hunter","2019","FALSE","ALGGRE",0,0.02,0.013,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Little Hunter","2019","FALSE","ALGRED",0,0.01,0.008,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Hunter","2019","FALSE","ROCK",0.2,0.03,0.015,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Hunter","2019","FALSE","FUCSPP",0.3,0.11,0.064,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Hunter","2019","FALSE","WATER",0.1,0.06,0.035,"Water","Water","Substrate",-899,""
"Acadia NP","Little Moose","2016","FALSE","BARSPP",0.3,0.05,0.027,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Moose","2016","FALSE","NONCOR",0.2,0.07,0.042,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Moose","2016","FALSE","CHOMAS",0,0.02,0.01,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Moose","2016","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Moose","2016","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Moose","2016","FALSE","ALGGRE",0,0,0,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Little Moose","2016","FALSE","ALGRED",0,0,0.003,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Moose","2016","FALSE","ROCK",0.1,0.06,0.033,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Moose","2016","FALSE","FUCSPP",0.2,0.02,0.013,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Moose","2016","FALSE","WATER",0.1,0.04,0.02,"Water","Water","Substrate",-899,""
"Acadia NP","Little Moose","2017","FALSE","BARSPP",0.3,0.06,0.035,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Moose","2017","FALSE","NONCOR",0.1,0.02,0.012,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Moose","2017","FALSE","CHOMAS",0,0.02,0.014,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Moose","2017","FALSE","ASCNOD",0,0,0.003,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Moose","2017","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Moose","2017","FALSE","ALGGRE",0.1,0.06,0.036,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Little Moose","2017","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Moose","2017","FALSE","ROCK",0.2,0.03,0.016,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Moose","2017","FALSE","FUCSPP",0.2,0.04,0.02,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Moose","2017","FALSE","WATER",0.1,0.04,0.024,"Water","Water","Substrate",-899,""
"Acadia NP","Little Moose","2018","FALSE","BARSPP",0.3,0.08,0.045,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Moose","2018","FALSE","NONCOR",0.1,0.05,0.031,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Moose","2018","FALSE","CHOMAS",0,0.02,0.014,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Moose","2018","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Moose","2018","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Moose","2018","FALSE","ALGGRE",0.1,0.02,0.011,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
