"Site_Name","Loc_Name","Year","QAQC","Spp_Code","mean","sd","se","Common_Name","Spp_Name","Category","TSN","Comments"
"Acadia NP","Little Moose","2018","FALSE","ALGRED",0,0.01,0.005,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Moose","2018","FALSE","ROCK",0.1,0.03,0.017,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Moose","2018","FALSE","FUCSPP",0.2,0.02,0.011,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Moose","2018","FALSE","WATER",0.1,0.01,0.004,"Water","Water","Substrate",-899,""
"Acadia NP","Little Moose","2019","FALSE","BARSPP",0.3,0.07,0.041,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Little Moose","2019","FALSE","NONCOR",0,0.02,0.01,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Little Moose","2019","FALSE","CHOMAS",0,0.01,0.007,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Little Moose","2019","FALSE","ASCNOD",0,0,0,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Little Moose","2019","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Little Moose","2019","FALSE","ALGGRE",0.1,0.08,0.044,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Little Moose","2019","FALSE","ALGRED",0,0.01,0.005,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Little Moose","2019","FALSE","ROCK",0.2,0.02,0.013,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Little Moose","2019","FALSE","FUCSPP",0.2,0.03,0.016,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Little Moose","2019","FALSE","WATER",0.1,0.02,0.014,"Water","Water","Substrate",-899,""
"Acadia NP","Otter Point","2013","FALSE","BARSPP",0,0.02,0.012,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Otter Point","2013","FALSE","NONCOR",0.1,0.04,0.02,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Otter Point","2013","FALSE","CHOMAS",0.1,0.05,0.027,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Otter Point","2013","FALSE","ASCNOD",0.2,0.07,0.038,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Otter Point","2013","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Otter Point","2013","FALSE","ALGGRE",0,0.01,0.005,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Otter Point","2013","FALSE","ALGRED",0,0.02,0.012,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Otter Point","2013","FALSE","ROCK",0.1,0.01,0.006,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Otter Point","2013","FALSE","FUCSPP",0.2,0.13,0.073,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Otter Point","2013","FALSE","WATER",0.1,0.04,0.024,"Water","Water","Substrate",-899,""
"Acadia NP","Otter Point","2014","FALSE","BARSPP",0,0.03,0.018,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Otter Point","2014","FALSE","NONCOR",0,0.05,0.028,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Otter Point","2014","FALSE","CHOMAS",0,0.03,0.02,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Otter Point","2014","FALSE","ASCNOD",0.2,0.04,0.025,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Otter Point","2014","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Otter Point","2014","FALSE","ALGGRE",0,0,0,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Otter Point","2014","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Otter Point","2014","FALSE","ROCK",0.2,0.02,0.011,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Otter Point","2014","FALSE","FUCSPP",0.2,0.08,0.047,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Otter Point","2014","FALSE","WATER",0.1,0.04,0.023,"Water","Water","Substrate",-899,""
"Acadia NP","Otter Point","2015","FALSE","BARSPP",0,0.03,0.018,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Otter Point","2015","FALSE","NONCOR",0.1,0.1,0.056,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Otter Point","2015","FALSE","CHOMAS",0,0.03,0.019,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Otter Point","2015","FALSE","ASCNOD",0.2,0.06,0.037,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Otter Point","2015","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Otter Point","2015","FALSE","ALGGRE",0,0.01,0.005,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Otter Point","2015","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Otter Point","2015","FALSE","ROCK",0.1,0.09,0.05,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Otter Point","2015","FALSE","FUCSPP",0.2,0.1,0.059,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Otter Point","2015","FALSE","WATER",0.1,0.04,0.026,"Water","Water","Substrate",-899,""
"Acadia NP","Otter Point","2016","FALSE","BARSPP",0,0.04,0.025,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Otter Point","2016","FALSE","NONCOR",0.2,0.06,0.034,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Otter Point","2016","FALSE","CHOMAS",0.1,0.04,0.023,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Otter Point","2016","FALSE","ASCNOD",0.2,0.02,0.013,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Otter Point","2016","FALSE","ALGBRO",0,0.01,0.003,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Otter Point","2016","FALSE","ALGGRE",0,0.02,0.014,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Otter Point","2016","FALSE","ALGRED",0,0.01,0.007,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Otter Point","2016","FALSE","ROCK",0,0.01,0.005,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Otter Point","2016","FALSE","FUCSPP",0.2,0.13,0.073,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Otter Point","2016","FALSE","WATER",0.1,0.04,0.021,"Water","Water","Substrate",-899,""
"Acadia NP","Otter Point","2016","TRUE","BARSPP",0,0.02,0.014,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Otter Point","2016","TRUE","NONCOR",0.1,0.02,0.011,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Otter Point","2016","TRUE","CHOMAS",0.1,0.04,0.025,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Otter Point","2016","TRUE","ASCNOD",0.2,0.05,0.03,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Otter Point","2016","TRUE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Otter Point","2016","TRUE","ALGGRE",0,0.01,0.006,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Otter Point","2016","TRUE","ALGRED",0,0.01,0.003,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Otter Point","2016","TRUE","ROCK",0.1,0.02,0.014,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Otter Point","2016","TRUE","FUCSPP",0.2,0.13,0.075,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Otter Point","2016","TRUE","WATER",0.1,0.08,0.045,"Water","Water","Substrate",-899,""
"Acadia NP","Otter Point","2017","FALSE","BARSPP",0.1,0.06,0.033,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Otter Point","2017","FALSE","NONCOR",0.1,0,0,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Otter Point","2017","FALSE","CHOMAS",0.1,0,0.003,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Otter Point","2017","FALSE","ASCNOD",0.2,0.04,0.026,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Otter Point","2017","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Otter Point","2017","FALSE","ALGGRE",0,0.01,0.003,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Otter Point","2017","FALSE","ALGRED",0,0.02,0.011,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Otter Point","2017","FALSE","ROCK",0.1,0.02,0.011,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Otter Point","2017","FALSE","FUCSPP",0.2,0.11,0.062,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Otter Point","2017","FALSE","WATER",0.1,0,0.003,"Water","Water","Substrate",-899,""
"Acadia NP","Otter Point","2018","FALSE","BARSPP",0,0.03,0.014,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Otter Point","2018","FALSE","NONCOR",0.1,0.03,0.017,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Otter Point","2018","FALSE","CHOMAS",0.1,0.02,0.011,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Otter Point","2018","FALSE","ASCNOD",0.2,0.03,0.016,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Otter Point","2018","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Otter Point","2018","FALSE","ALGGRE",0.1,0.03,0.017,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Otter Point","2018","FALSE","ALGRED",0,0.01,0.005,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Otter Point","2018","FALSE","ROCK",0.2,0.08,0.045,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Otter Point","2018","FALSE","FUCSPP",0.1,0.08,0.046,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Otter Point","2018","FALSE","WATER",0.1,0.01,0.006,"Water","Water","Substrate",-899,""
"Acadia NP","Otter Point","2019","FALSE","BARSPP",0,0.04,0.025,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Otter Point","2019","FALSE","NONCOR",0.1,0.03,0.019,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Otter Point","2019","FALSE","CHOMAS",0.1,0.03,0.019,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Otter Point","2019","FALSE","ASCNOD",0.2,0.04,0.023,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Otter Point","2019","FALSE","ALGBRO",0,0,0.002,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Otter Point","2019","FALSE","ALGGRE",0.1,0.01,0.006,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Otter Point","2019","FALSE","ALGRED",0,0.01,0.003,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Otter Point","2019","FALSE","ROCK",0.1,0.04,0.025,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Otter Point","2019","FALSE","FUCSPP",0.2,0.09,0.051,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Otter Point","2019","FALSE","WATER",0.1,0.01,0.008,"Water","Water","Substrate",-899,""
"Acadia NP","Schoodic Point","2013","FALSE","BARSPP",0.2,0.06,0.037,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Schoodic Point","2013","FALSE","NONCOR",0,0.03,0.018,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Schoodic Point","2013","FALSE","CHOMAS",0.1,0.03,0.018,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Schoodic Point","2013","FALSE","ASCNOD",0,0.02,0.011,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Schoodic Point","2013","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Schoodic Point","2013","FALSE","ALGGRE",0,0,0,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Schoodic Point","2013","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Schoodic Point","2013","FALSE","ROCK",0.2,0.06,0.038,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Schoodic Point","2013","FALSE","FUCSPP",0.4,0.07,0.04,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Schoodic Point","2013","FALSE","WATER",0,0.02,0.01,"Water","Water","Substrate",-899,""
"Acadia NP","Schoodic Point","2014","FALSE","BARSPP",0.2,0.05,0.03,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Schoodic Point","2014","FALSE","NONCOR",0,0.03,0.016,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Schoodic Point","2014","FALSE","CHOMAS",0.1,0.01,0.009,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Schoodic Point","2014","FALSE","ASCNOD",0,0.02,0.014,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Schoodic Point","2014","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Schoodic Point","2014","FALSE","ALGGRE",0,0,0,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Schoodic Point","2014","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Schoodic Point","2014","FALSE","ROCK",0.1,0,0.001,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Schoodic Point","2014","FALSE","FUCSPP",0.4,0.02,0.01,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Schoodic Point","2014","FALSE","WATER",0,0.01,0.004,"Water","Water","Substrate",-899,""
"Acadia NP","Schoodic Point","2014","TRUE","BARSPP",0.2,0.06,0.032,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Schoodic Point","2014","TRUE","NONCOR",0,0.01,0.003,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Schoodic Point","2014","TRUE","CHOMAS",0.1,0.02,0.01,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Schoodic Point","2014","TRUE","ASCNOD",0,0.02,0.013,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Schoodic Point","2014","TRUE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Schoodic Point","2014","TRUE","ALGGRE",0,0,0.003,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Schoodic Point","2014","TRUE","ALGRED",0,0,0.003,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Schoodic Point","2014","TRUE","ROCK",0.1,0.04,0.023,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Schoodic Point","2014","TRUE","FUCSPP",0.4,0.04,0.024,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Schoodic Point","2014","TRUE","WATER",0,0.01,0.005,"Water","Water","Substrate",-899,""
"Acadia NP","Schoodic Point","2015","FALSE","BARSPP",0.2,0.05,0.028,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Schoodic Point","2015","FALSE","NONCOR",0,0.03,0.017,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Schoodic Point","2015","FALSE","CHOMAS",0,0.02,0.013,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Schoodic Point","2015","FALSE","ASCNOD",0,0.02,0.013,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Schoodic Point","2015","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Schoodic Point","2015","FALSE","ALGGRE",0,0.01,0.008,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Schoodic Point","2015","FALSE","ALGRED",0,0.01,0.005,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Schoodic Point","2015","FALSE","ROCK",0.2,0.02,0.01,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Schoodic Point","2015","FALSE","FUCSPP",0.3,0.05,0.031,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Schoodic Point","2015","FALSE","WATER",0,0.01,0.004,"Water","Water","Substrate",-899,""
"Acadia NP","Schoodic Point","2016","FALSE","BARSPP",0.1,0.04,0.024,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Schoodic Point","2016","FALSE","NONCOR",0.1,0.03,0.019,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Schoodic Point","2016","FALSE","CHOMAS",0.1,0.02,0.013,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Schoodic Point","2016","FALSE","ASCNOD",0,0.02,0.01,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Schoodic Point","2016","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Schoodic Point","2016","FALSE","ALGGRE",0,0,0.003,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Schoodic Point","2016","FALSE","ALGRED",0,0,0.003,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Schoodic Point","2016","FALSE","ROCK",0.1,0.03,0.016,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Schoodic Point","2016","FALSE","FUCSPP",0.4,0.04,0.025,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Schoodic Point","2016","FALSE","WATER",0,0.01,0.006,"Water","Water","Substrate",-899,""
"Acadia NP","Schoodic Point","2017","FALSE","BARSPP",0.2,0.02,0.011,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Schoodic Point","2017","FALSE","NONCOR",0.1,0.04,0.023,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Schoodic Point","2017","FALSE","CHOMAS",0.1,0.04,0.021,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Schoodic Point","2017","FALSE","ASCNOD",0,0.03,0.018,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Schoodic Point","2017","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Schoodic Point","2017","FALSE","ALGGRE",0,0.03,0.015,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Schoodic Point","2017","FALSE","ALGRED",0,0,0,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Schoodic Point","2017","FALSE","ROCK",0.1,0,0.001,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Schoodic Point","2017","FALSE","FUCSPP",0.4,0.09,0.053,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Schoodic Point","2017","FALSE","WATER",0,0.01,0.006,"Water","Water","Substrate",-899,""
"Acadia NP","Schoodic Point","2018","FALSE","BARSPP",0.1,0.04,0.022,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Schoodic Point","2018","FALSE","NONCOR",0.1,0.02,0.013,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Schoodic Point","2018","FALSE","CHOMAS",0.1,0.03,0.018,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","Schoodic Point","2018","FALSE","ASCNOD",0,0.02,0.013,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Acadia NP","Schoodic Point","2018","FALSE","ALGBRO",0,0,0,"Other Algae - Brown","Other Algae - Brown","Species Group",-890,"brown algae species other than those listed"
"Acadia NP","Schoodic Point","2018","FALSE","ALGGRE",0,0.03,0.017,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed"
"Acadia NP","Schoodic Point","2018","FALSE","ALGRED",0,0,0.002,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","Schoodic Point","2018","FALSE","ROCK",0.1,0.03,0.019,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","Schoodic Point","2018","FALSE","FUCSPP",0.4,0.05,0.028,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","Schoodic Point","2018","FALSE","WATER",0,0.01,0.007,"Water","Water","Substrate",-899,""
"Acadia NP","Schoodic Point","2019","FALSE","BARSPP",0.1,0.06,0.033,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","Schoodic Point","2019","FALSE","NONCOR",0,0.02,0.013,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","Schoodic Point","2019","FALSE","CHOMAS",0.1,0.01,0.008,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
