"Loc_Name","Year","QAQC","Spp_Name","variable","mean","se","N","Site_Name","Spp_Code","Common","Com_Sp"
"Bass Harbor","2013","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2013","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2013","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2013","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2013","0","Asterias rubens","Abundance",0,0,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2013","0","Asterias rubens","logAbundance",0,0,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2013","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2013","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2014","0","Strongylocentrotus droebachiensis","Abundance",0.2,0.2,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2014","0","Strongylocentrotus droebachiensis","logAbundance",0.16,0.16,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2014","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2014","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2014","0","Asterias rubens","Abundance",0.02,0.02,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2014","0","Asterias rubens","logAbundance",0.02,0.02,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2014","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2014","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2015","0","Strongylocentrotus droebachiensis","Abundance",0.08,0.08,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2015","0","Strongylocentrotus droebachiensis","logAbundance",0.07,0.07,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2015","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2015","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2015","0","Asterias rubens","Abundance",0.05,0.05,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2015","0","Asterias rubens","logAbundance",0.05,0.05,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2015","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2015","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2016","0","Strongylocentrotus droebachiensis","Abundance",0.03,0.03,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2016","0","Strongylocentrotus droebachiensis","logAbundance",0.03,0.03,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2016","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2016","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2016","0","Asterias rubens","Abundance",0,0,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2016","0","Asterias rubens","logAbundance",0,0,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2016","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2016","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2013","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2013","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2013","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2013","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2013","0","Asterias rubens","Abundance",0.05,0.03,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2013","0","Asterias rubens","logAbundance",0.05,0.03,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2013","0","Asterias forbesii","Abundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2013","0","Asterias forbesii","logAbundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2014","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2014","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2014","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2014","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2014","0","Asterias rubens","Abundance",0,0,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2014","0","Asterias rubens","logAbundance",0,0,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2014","0","Asterias forbesii","Abundance",0.02,0.02,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2014","0","Asterias forbesii","logAbundance",0.02,0.02,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2015","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2015","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2015","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2015","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2015","0","Asterias rubens","Abundance",0,0,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2015","0","Asterias rubens","logAbundance",0,0,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2015","0","Asterias forbesii","Abundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2015","0","Asterias forbesii","logAbundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2016","0","Strongylocentrotus droebachiensis","Abundance",0.08,0.06,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2016","0","Strongylocentrotus droebachiensis","logAbundance",0.08,0.05,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2016","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2016","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2016","0","Asterias rubens","Abundance",0.02,0.02,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2016","0","Asterias rubens","logAbundance",0.02,0.02,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2016","0","Asterias forbesii","Abundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2016","0","Asterias forbesii","logAbundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Green Island","2013","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Green Island","2013","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Green Island","2013","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Green Island","2013","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Green Island","2013","0","Asterias rubens","Abundance",1.05,0.7,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Green Island","2013","0","Asterias rubens","logAbundance",0.6,0.34,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Green Island","2013","0","Asterias forbesii","Abundance",0.02,0.02,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Green Island","2013","0","Asterias forbesii","logAbundance",0.02,0.02,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Green Island","2014","0","Strongylocentrotus droebachiensis","Abundance",0,0,2,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Green Island","2014","0","Strongylocentrotus droebachiensis","logAbundance",0,0,2,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Green Island","2014","0","Henricia sanguinolenta","Abundance",0,0,2,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Green Island","2014","0","Henricia sanguinolenta","logAbundance",0,0,2,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Green Island","2014","0","Asterias rubens","Abundance",2.33,2.33,2,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Green Island","2014","0","Asterias rubens","logAbundance",0.87,0.87,2,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Green Island","2014","0","Asterias forbesii","Abundance",0,0,2,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Green Island","2014","0","Asterias forbesii","logAbundance",0,0,2,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Green Island","2015","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Green Island","2015","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Green Island","2015","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Green Island","2015","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Green Island","2015","0","Asterias rubens","Abundance",0,0,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Green Island","2015","0","Asterias rubens","logAbundance",0,0,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Green Island","2015","0","Asterias forbesii","Abundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Green Island","2015","0","Asterias forbesii","logAbundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Green Island","2016","0","Strongylocentrotus droebachiensis","Abundance",0.08,0.08,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Green Island","2016","0","Strongylocentrotus droebachiensis","logAbundance",0.07,0.07,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Green Island","2016","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Green Island","2016","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Green Island","2016","0","Asterias rubens","Abundance",0.12,0.12,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Green Island","2016","0","Asterias rubens","logAbundance",0.1,0.1,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Green Island","2016","0","Asterias forbesii","Abundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Green Island","2016","0","Asterias forbesii","logAbundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Hunter","2013","0","Strongylocentrotus droebachiensis","Abundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Hunter","2013","0","Strongylocentrotus droebachiensis","logAbundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Hunter","2013","0","Henricia sanguinolenta","Abundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Hunter","2013","0","Henricia sanguinolenta","logAbundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Hunter","2013","0","Asterias rubens","Abundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Hunter","2013","0","Asterias rubens","logAbundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Hunter","2013","0","Asterias forbesii","Abundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Hunter","2013","0","Asterias forbesii","logAbundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Hunter","2014","0","Strongylocentrotus droebachiensis","Abundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Hunter","2014","0","Strongylocentrotus droebachiensis","logAbundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Hunter","2014","0","Henricia sanguinolenta","Abundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Hunter","2014","0","Henricia sanguinolenta","logAbundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Hunter","2014","0","Asterias rubens","Abundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Hunter","2014","0","Asterias rubens","logAbundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Hunter","2014","0","Asterias forbesii","Abundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Hunter","2014","0","Asterias forbesii","logAbundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Hunter","2015","0","Strongylocentrotus droebachiensis","Abundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Hunter","2015","0","Strongylocentrotus droebachiensis","logAbundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Hunter","2015","0","Henricia sanguinolenta","Abundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Hunter","2015","0","Henricia sanguinolenta","logAbundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Hunter","2015","0","Asterias rubens","Abundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Hunter","2015","0","Asterias rubens","logAbundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Hunter","2015","0","Asterias forbesii","Abundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Hunter","2015","0","Asterias forbesii","logAbundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Hunter","2016","0","Strongylocentrotus droebachiensis","Abundance",3.25,3.23,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Hunter","2016","0","Strongylocentrotus droebachiensis","logAbundance",0.81,0.78,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Hunter","2016","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Hunter","2016","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Hunter","2016","0","Asterias rubens","Abundance",0.17,0.1,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Hunter","2016","0","Asterias rubens","logAbundance",0.15,0.09,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Hunter","2016","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Hunter","2016","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Moose","2013","0","Strongylocentrotus droebachiensis","Abundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Moose","2013","0","Strongylocentrotus droebachiensis","logAbundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Moose","2013","0","Henricia sanguinolenta","Abundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Moose","2013","0","Henricia sanguinolenta","logAbundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Moose","2013","0","Asterias rubens","Abundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Moose","2013","0","Asterias rubens","logAbundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Moose","2013","0","Asterias forbesii","Abundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Moose","2013","0","Asterias forbesii","logAbundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Moose","2014","0","Strongylocentrotus droebachiensis","Abundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Moose","2014","0","Strongylocentrotus droebachiensis","logAbundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Moose","2014","0","Henricia sanguinolenta","Abundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Moose","2014","0","Henricia sanguinolenta","logAbundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Moose","2014","0","Asterias rubens","Abundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Moose","2014","0","Asterias rubens","logAbundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Moose","2014","0","Asterias forbesii","Abundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Moose","2014","0","Asterias forbesii","logAbundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Moose","2015","0","Strongylocentrotus droebachiensis","Abundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Moose","2015","0","Strongylocentrotus droebachiensis","logAbundance",0,0,0,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Moose","2015","0","Henricia sanguinolenta","Abundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Moose","2015","0","Henricia sanguinolenta","logAbundance",0,0,0,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Moose","2015","0","Asterias rubens","Abundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Moose","2015","0","Asterias rubens","logAbundance",0,0,0,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Moose","2015","0","Asterias forbesii","Abundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Moose","2015","0","Asterias forbesii","logAbundance",0,0,0,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Moose","2016","0","Strongylocentrotus droebachiensis","Abundance",8.42,4.65,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Moose","2016","0","Strongylocentrotus droebachiensis","logAbundance",1.77,0.81,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Little Moose","2016","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Moose","2016","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Little Moose","2016","0","Asterias rubens","Abundance",0.4,0.16,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Moose","2016","0","Asterias rubens","logAbundance",0.32,0.11,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Little Moose","2016","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Little Moose","2016","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Otter Point","2013","0","Strongylocentrotus droebachiensis","Abundance",0.08,0.08,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
