"Loc_Name","Year","QAQC","Spp_Code","mean","sd","se","Site_Name","Site_Code","Loc_Code","Common_Name","Spp_Name","Category","TSN","Comments"
"Bass Harbor","2013","0","ASCEPI",0,0,0,"Acadia NP","ACAD","BASHAR","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Bass Harbor","2013","0","BARSPP",0.162,0.125,0.072,"Acadia NP","ACAD","BASHAR","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Bass Harbor","2013","0","NONCOR",0.102,0.003,0.002,"Acadia NP","ACAD","BASHAR","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Bass Harbor","2013","0","FUCEPI",0.019,0.016,0.009,"Acadia NP","ACAD","BASHAR","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Bass Harbor","2013","0","CHOMAS",0.105,0.05,0.029,"Acadia NP","ACAD","BASHAR","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Bass Harbor","2013","0","ASCNOD",0,0,0,"Acadia NP","ACAD","BASHAR","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Bass Harbor","2013","0","ROCK",0.154,0.012,0.007,"Acadia NP","ACAD","BASHAR","Rock","Rock","Substrate",-893,"rock"
"Bass Harbor","2013","0","FUCSPP",0.312,0.064,0.037,"Acadia NP","ACAD","BASHAR","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Bass Harbor","2013","0","ULVSPP",0.087,0.022,0.013,"Acadia NP","ACAD","BASHAR","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Bass Harbor","2013","0","WATER",0.028,0.003,0.002,"Acadia NP","ACAD","BASHAR","Water","Water","Substrate",-899,""
"Bass Harbor","2014","0","ASCEPI",0,0,0,"Acadia NP","ACAD","BASHAR","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Bass Harbor","2014","0","BARSPP",0.149,0.118,0.068,"Acadia NP","ACAD","BASHAR","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Bass Harbor","2014","0","NONCOR",0.103,0.044,0.025,"Acadia NP","ACAD","BASHAR","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Bass Harbor","2014","0","FUCEPI",0.035,0.01,0.006,"Acadia NP","ACAD","BASHAR","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Bass Harbor","2014","0","CHOMAS",0.075,0.043,0.025,"Acadia NP","ACAD","BASHAR","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Bass Harbor","2014","0","ASCNOD",0,0,0,"Acadia NP","ACAD","BASHAR","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Bass Harbor","2014","0","ROCK",0.145,0.041,0.024,"Acadia NP","ACAD","BASHAR","Rock","Rock","Substrate",-893,"rock"
"Bass Harbor","2014","0","FUCSPP",0.437,0.071,0.041,"Acadia NP","ACAD","BASHAR","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Bass Harbor","2014","0","ULVSPP",0.009,0.008,0.005,"Acadia NP","ACAD","BASHAR","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Bass Harbor","2014","0","WATER",0.02,0.011,0.006,"Acadia NP","ACAD","BASHAR","Water","Water","Substrate",-899,""
"Bass Harbor","2015","0","ASCEPI",0,0,0,"Acadia NP","ACAD","BASHAR","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Bass Harbor","2015","0","BARSPP",0.121,0.085,0.049,"Acadia NP","ACAD","BASHAR","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Bass Harbor","2015","0","NONCOR",0.078,0.025,0.014,"Acadia NP","ACAD","BASHAR","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Bass Harbor","2015","0","FUCEPI",0.024,0.008,0.005,"Acadia NP","ACAD","BASHAR","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Bass Harbor","2015","0","CHOMAS",0.055,0.028,0.016,"Acadia NP","ACAD","BASHAR","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Bass Harbor","2015","0","ASCNOD",0.006,0.007,0.004,"Acadia NP","ACAD","BASHAR","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Bass Harbor","2015","0","ROCK",0.164,0.021,0.012,"Acadia NP","ACAD","BASHAR","Rock","Rock","Substrate",-893,"rock"
"Bass Harbor","2015","0","FUCSPP",0.458,0.078,0.045,"Acadia NP","ACAD","BASHAR","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Bass Harbor","2015","0","ULVSPP",0.019,0.006,0.003,"Acadia NP","ACAD","BASHAR","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Bass Harbor","2015","0","WATER",0.03,0.013,0.008,"Acadia NP","ACAD","BASHAR","Water","Water","Substrate",-899,""
"Bass Harbor","2016","0","ASCEPI",0,0,0,"Acadia NP","ACAD","BASHAR","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Bass Harbor","2016","0","BARSPP",0.091,0.062,0.036,"Acadia NP","ACAD","BASHAR","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Bass Harbor","2016","0","NONCOR",0.077,0.009,0.005,"Acadia NP","ACAD","BASHAR","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Bass Harbor","2016","0","FUCEPI",0.02,0.014,0.008,"Acadia NP","ACAD","BASHAR","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Bass Harbor","2016","0","CHOMAS",0.068,0.016,0.009,"Acadia NP","ACAD","BASHAR","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Bass Harbor","2016","0","ASCNOD",0,0,0,"Acadia NP","ACAD","BASHAR","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Bass Harbor","2016","0","ROCK",0.105,0.024,0.014,"Acadia NP","ACAD","BASHAR","Rock","Rock","Substrate",-893,"rock"
"Bass Harbor","2016","0","FUCSPP",0.563,0.06,0.035,"Acadia NP","ACAD","BASHAR","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Bass Harbor","2016","0","ULVSPP",0,0,0,"Acadia NP","ACAD","BASHAR","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Bass Harbor","2016","0","WATER",0.029,0.016,0.009,"Acadia NP","ACAD","BASHAR","Water","Water","Substrate",-899,""
"Little Hunter","2013","0","ASCEPI",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Little Hunter","2013","0","BARSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Little Hunter","2013","0","NONCOR",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Little Hunter","2013","0","FUCEPI",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Little Hunter","2013","0","CHOMAS",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Little Hunter","2013","0","ASCNOD",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Little Hunter","2013","0","ROCK",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Rock","Rock","Substrate",-893,"rock"
"Little Hunter","2013","0","FUCSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Little Hunter","2013","0","ULVSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Little Hunter","2013","0","WATER",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Water","Water","Substrate",-899,""
"Little Hunter","2014","0","ASCEPI",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Little Hunter","2014","0","BARSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Little Hunter","2014","0","NONCOR",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Little Hunter","2014","0","FUCEPI",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Little Hunter","2014","0","CHOMAS",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Little Hunter","2014","0","ASCNOD",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Little Hunter","2014","0","ROCK",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Rock","Rock","Substrate",-893,"rock"
"Little Hunter","2014","0","FUCSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Little Hunter","2014","0","ULVSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Little Hunter","2014","0","WATER",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Water","Water","Substrate",-899,""
"Little Hunter","2015","0","ASCEPI",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Little Hunter","2015","0","BARSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Little Hunter","2015","0","NONCOR",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Little Hunter","2015","0","FUCEPI",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Little Hunter","2015","0","CHOMAS",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Little Hunter","2015","0","ASCNOD",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Little Hunter","2015","0","ROCK",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Rock","Rock","Substrate",-893,"rock"
"Little Hunter","2015","0","FUCSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Little Hunter","2015","0","ULVSPP",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Little Hunter","2015","0","WATER",NA,NA,NA,"Acadia NP","ACAD","LITHUN","Water","Water","Substrate",-899,""
"Little Hunter","2016","0","ASCEPI",0.019,0.022,0.013,"Acadia NP","ACAD","LITHUN","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Little Hunter","2016","0","BARSPP",0.124,0.069,0.04,"Acadia NP","ACAD","LITHUN","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Little Hunter","2016","0","NONCOR",0.12,0.03,0.017,"Acadia NP","ACAD","LITHUN","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Little Hunter","2016","0","FUCEPI",0,0,0,"Acadia NP","ACAD","LITHUN","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Little Hunter","2016","0","CHOMAS",0.01,0.008,0.005,"Acadia NP","ACAD","LITHUN","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Little Hunter","2016","0","ASCNOD",0.04,0.033,0.019,"Acadia NP","ACAD","LITHUN","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Little Hunter","2016","0","ROCK",0.205,0.047,0.027,"Acadia NP","ACAD","LITHUN","Rock","Rock","Substrate",-893,"rock"
"Little Hunter","2016","0","FUCSPP",0.262,0.078,0.045,"Acadia NP","ACAD","LITHUN","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Little Hunter","2016","0","ULVSPP",0.005,0.008,0.005,"Acadia NP","ACAD","LITHUN","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Little Hunter","2016","0","WATER",0.09,0.039,0.023,"Acadia NP","ACAD","LITHUN","Water","Water","Substrate",-899,""
"Little Moose","2013","0","ASCEPI",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Little Moose","2013","0","BARSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Little Moose","2013","0","NONCOR",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Little Moose","2013","0","FUCEPI",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Little Moose","2013","0","CHOMAS",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Little Moose","2013","0","ASCNOD",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Little Moose","2013","0","ROCK",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Rock","Rock","Substrate",-893,"rock"
"Little Moose","2013","0","FUCSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Little Moose","2013","0","ULVSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Little Moose","2013","0","WATER",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Water","Water","Substrate",-899,""
"Little Moose","2014","0","ASCEPI",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Little Moose","2014","0","BARSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Little Moose","2014","0","NONCOR",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Little Moose","2014","0","FUCEPI",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Little Moose","2014","0","CHOMAS",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Little Moose","2014","0","ASCNOD",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Little Moose","2014","0","ROCK",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Rock","Rock","Substrate",-893,"rock"
"Little Moose","2014","0","FUCSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Little Moose","2014","0","ULVSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Little Moose","2014","0","WATER",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Water","Water","Substrate",-899,""
"Little Moose","2015","0","ASCEPI",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Little Moose","2015","0","BARSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Little Moose","2015","0","NONCOR",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Little Moose","2015","0","FUCEPI",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Little Moose","2015","0","CHOMAS",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Little Moose","2015","0","ASCNOD",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Little Moose","2015","0","ROCK",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Rock","Rock","Substrate",-893,"rock"
"Little Moose","2015","0","FUCSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Little Moose","2015","0","ULVSPP",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Little Moose","2015","0","WATER",NA,NA,NA,"Acadia NP","ACAD","LITMOO","Water","Water","Substrate",-899,""
"Little Moose","2016","0","ASCEPI",0,0,0,"Acadia NP","ACAD","LITMOO","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Little Moose","2016","0","BARSPP",0.324,0.048,0.028,"Acadia NP","ACAD","LITMOO","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Little Moose","2016","0","NONCOR",0.153,0.07,0.04,"Acadia NP","ACAD","LITMOO","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Little Moose","2016","0","FUCEPI",0.033,0.017,0.01,"Acadia NP","ACAD","LITMOO","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Little Moose","2016","0","CHOMAS",0.03,0.018,0.01,"Acadia NP","ACAD","LITMOO","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Little Moose","2016","0","ASCNOD",0,0,0,"Acadia NP","ACAD","LITMOO","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Little Moose","2016","0","ROCK",0.095,0.055,0.032,"Acadia NP","ACAD","LITMOO","Rock","Rock","Substrate",-893,"rock"
"Little Moose","2016","0","FUCSPP",0.205,0.023,0.013,"Acadia NP","ACAD","LITMOO","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Little Moose","2016","0","ULVSPP",0.005,0.009,0.005,"Acadia NP","ACAD","LITMOO","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Little Moose","2016","0","WATER",0.079,0.035,0.02,"Acadia NP","ACAD","LITMOO","Water","Water","Substrate",-899,""
"Otter Point","2013","0","ASCEPI",0.086,0.061,0.035,"Acadia NP","ACAD","OTTPOI","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Otter Point","2013","0","BARSPP",0.02,0.022,0.013,"Acadia NP","ACAD","OTTPOI","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
